Teachers, Subjects, Fields, Heuristic, Failed_Hours, Practical_Teacher_From_Other_Field, Resumptions, Entailments, Prunings, Backtracks, Constraints_created, Walltime
8.0, 10.0, 2.0, 4.48, 5.6, 18.0, 44545546.0, 3968034.0, 17708976.0, 118799.0, 331.0, 5031.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9.0, 10.0, 2.0, 2.67, 3.34, 11.0, 43227331.0, 4018681.0, 17633067.0, 274454.0, 362.0, 5033.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9.0, 10.0, 2.0, 6.61, 8.26, 25.0, 39003050.0, 7327605.0, 16592636.0, 160212.0, 362.0, 5032.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15.0, 12.0, 1.0, 9.34, 11.67, 0.0, 35277416.0, 4365317.0, 15397439.0, 151685.0, 603.0, 5048.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13.0, 12.0, 1.0, 14.98, 18.73, 0.0, 51174567.0, 3722645.0, 19945318.0, 194746.0, 533.0, 5031.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15.0, 12.0, 1.0, 10.57, 13.21, 0.0, 42998380.0, 5313335.0, 17216900.0, 150596.0, 603.0, 5031.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9.0, 12.0, 1.0, 7.87, 9.84, 0.0, 41189223.0, 6726648.0, 17341418.0, 154203.0, 393.0, 5032.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10.0, 12.0, 1.0, 7.68, 9.61, 0.0, 42511105.0, 5198098.0, 17345797.0, 127609.0, 428.0, 5032.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13.0, 12.0, 1.0, 19.1, 23.88, 0.0, 38327948.0, 4874050.0, 16263666.0, 166350.0, 533.0, 5032.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15.0, 12.0, 2.0, 8.94, 11.17, 55.0, 47284968.0, 5508445.0, 18642883.0, 170833.0, 623.0, 5032.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12.0, 12.0, 2.0, 5.14, 6.42, 25.0, 42512779.0, 5217779.0, 17496968.0, 341414.0, 518.0, 5039.0
14.0, 12.0, 2.0, 9.79, 12.24, 25.0, 49400962.0, 5568838.0, 19893013.0, 250841.0, 588.0, 5031.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15.0, 12.0, 2.0, 7.0, 8.75, 38.0, 44832037.0, 5820137.0, 18149812.0, 106098.0, 623.0, 5033.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9.0, 12.0, 2.0, 5.66, 7.07, 20.0, 49769737.0, 5138884.0, 19518391.0, 147087.0, 413.0, 5032.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
